Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
626,NCT02729766,Effects of Empagliflozin an SGLT2-Inhibitor on Healthy Volunteers With Induced Hypotonic Hyponatremia - the DIVE Study,Recruiting,No Results Available,Inappropriate ADH Syndrome,Other: Induced hypotonic hyponatremia - SIAD model|Drug: Empagliflozin 25mg Tbl|Drug: Placebo P-Tablet,"University Hospital, Basel, Switzerland",Both,Adult,Phase 2|Phase 3,17,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",2015-00024,"March 24, 2016",Mar-16,Sep-16,"March 31, 2016",Mar-16,No Study Results Posted,DIVE,Jun-16,"serum sodium concentration after 7 hours of study medication administration|Serum sodium concentration at every time point of the study|Amount of urinary excretion|Serum osmolality at every time point of the study|Serum glucose at every time point of the study|Urinary osmolality at every time point of the study|Urinary glucose at every time point of the study|Serum electrolytes before induction of siad, at baseline and time point 7|Urinary electrolytes before induction of siad, at baseline and time point 7|Plasma level of Copeptin before induction of siad, at baseline and time point 7|Plasma level of Aldosterone before induction of siad, at baseline and time point 7|Plasma level of Renin before induction of siad, at baseline and time point 7|Plasma Level of atrial natriuretic peptide (ANP) before induction of siad, at baseline and time point 7|Plasma levels of brain natriuretic peptide (BNP) before induction of siad, at baseline and time point 7|Body weight at every time point of the study|Blood pressure at every time point of the study|Heart rate at every time point of the study|Symptoms of hyponatremia assessed by visual analogue scale (VAS) at every time point of the study",https://ClinicalTrials.gov/show/NCT02729766
627,NCT02729727,Clinical Study to Evaluate CryoBalloon Ablation System in Patients Undergoing Esophagectomy,Recruiting,No Results Available,Esophageal Cancer,Device: CryoBalloon Ablation System,"C2 Therapeutics, Inc.",Both,Adult|Senior,,5,Industry,Interventional,Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Basic Science|Masking: Open Label,CP-0008,"March 14, 2016",Mar-16,Oct-16,"March 31, 2016",Mar-16,No Study Results Posted,null,Aug-16,"Safety of CryoBalloon Ablation System by the incidence of serious device related events|Device Performance: ease of deployment of the CryoBalloon, procedure time pre and post procedure",https://ClinicalTrials.gov/show/NCT02729727
628,NCT02729714,A Pilot Study of Suvorexant for Insomnia in Parkinson Disease,Recruiting,No Results Available,Insomnia,Drug: Suvorexant|Drug: Placebo,"Burdick, Daniel, M.D.|Merck Sharp & Dohme Corp.",Both,Adult|Senior,Phase 4,20,Other|Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",DJB-2015-01,"January 26, 2016",Apr-16,Sep-18,"April 5, 2016",Apr-16,No Study Results Posted,null,Jul-18,Sleep Efficiency as measured by Polysomnogram|Wake after sleep onset- WASO|Latency to Persistent Sleep- LPS|Muscle Tonicity|Insomnia Severity Index- ISI|Epworth Sleepiness Scale-ESS|Subject's Global Impression of Change- SGI|Clinicians's Global Impression of Change- CGIC,https://ClinicalTrials.gov/show/NCT02729714
629,NCT02729701,Pilot Study of the Effect of Duaveeå¨ on Benign Breast Tissue Proliferation,Recruiting,No Results Available,Breast Cancer,Drug: Duavee,University of Kansas Medical Center|Pfizer,Female,Child|Adult,Phase 4,40,Other|Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,STUDY00002440,"March 21, 2016",Apr-16,May-17,"April 22, 2016",Apr-16,No Study Results Posted,null,Mar-17,Feasibility for a larger trial|Change in Ki-67|Change in benign breast tissue estrogen responsive genes|Change in hormone levels|Change in levels of Duavee in the blood|Change in body composition|Change in breast density,https://ClinicalTrials.gov/show/NCT02729701
630,NCT02729688,Effectiveness of a Pressure Indicator Guided and a Conventional Bandaging in Treatment of Venous Leg Ulcer,Recruiting,No Results Available,Venous Insufficiency,Device: customized pressure guide bandage|Device: Ordinary elastic bandage,Mahidol University,Both,Adult|Senior,,90,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,SIRIRAJ016/2559,"March 25, 2016",Mar-16,Mar-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Mar-17,Sub-bandage pressure,https://ClinicalTrials.gov/show/NCT02729688
631,NCT02729649,ArmAssist Robotic Device for Arm Training,Recruiting,No Results Available,Hemiparesis,Device: ArmAssist robotic training|Other: Conventional therapy|Other: Extended conventional therapy,University of Belgrade,Both,Child|Adult|Senior,Phase 1|Phase 2,90,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor),LK-3,"March 29, 2016",Jan-16,Jan-17,"April 5, 2016",Apr-16,No Study Results Posted,null,Apr-16,Fugl Mayer motor score for upper extremity|Ashworth score|Action research arm score|Wolf motor function test|Barthel index,https://ClinicalTrials.gov/show/NCT02729649
632,NCT02729636,Multi-pad FES System for Drop Foot Treatment,Recruiting,No Results Available,Foot Drop,Device: multipad electrical stimulation (FES)|Other: Conventional therapy,University of Belgrade,Both,Child|Adult|Senior,Phase 2|Phase 3,30,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor),LK-4,"March 29, 2016",Mar-16,Mar-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Sep-16,gait speed by 10m walking test|motor arm impairment by Fugl Mayer assessment|Activities of daily living by Barthel index|postural stability by Berg Balance scale,https://ClinicalTrials.gov/show/NCT02729636
633,NCT02729571,Dose-escalation Safety and Immunogenicity Study to Compare MTBVAC to BCG in Newborns With a Safety Arm in Adults,Recruiting,No Results Available,Tuberculosis,Biological: MTBVAC|Biological: BCG,"Biofabri, S.L|South African Tuberculosis Vaccine Initiative|TuBerculosis Vaccine Initiative|Triclinium Clinical Trial Project Management (Pty) Ltd.|Universidad de Zaragoza",Both,Child|Adult,Phase 1|Phase 2,54,Industry|Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",MTBVAC-02,"March 15, 2016",Sep-15,Jan-17,"March 31, 2016",Mar-16,No Study Results Posted,MTBVAC-Ph1b,Jun-16,"Safety and reactogenicity in infants and adults: includes injection site and systemic and regional adverse events, solicited and unsolicited. A diary card will be for solicited local, regional, and systemic adverse event data.|Primary immunogenicity analysis (in infants only): Measure of frequencies and co-expression patterns of CD4 and CD8 T cells expressing specific cytokines in whole blood.",https://ClinicalTrials.gov/show/NCT02729571
634,NCT02729558,Local Radiotherapy Following Complete Resection of a Brain Metastasis,Recruiting,No Results Available,Brain Neoplasms,Radiation: local SRT,VU University Medical Center|The Netherlands Cancer Institute|UMC Utrecht,Both,Adult|Senior,Phase 3,70,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,NL5128302914,"February 19, 2016",May-15,May-17,"April 8, 2016",Apr-16,No Study Results Posted,null,May-17,"local control rate|Decrease in neurocognitive test results using the Hopkins Verbal Learning Test Revised (HVLT-R), in full cohorts|Decrease in specified neurocognitive test results using the Trail Making A and B, in full cohorts|Decrease in neurocognitive test results using the Controlled Oral Word Association (COWA), in full cohorts|Decrease in neurocognitive test results using using the Wechsler Adult Intelligence Scale (WAIS) III Digit Span and WAIS III Digit Symbol, in full cohorts|Decrease in neurocognitive test results using the Grooved Pegboard, in full cohorts",https://ClinicalTrials.gov/show/NCT02729558
635,NCT02729532,Effect of Xpert MTB/RIF on Patient Outcomes,Recruiting,No Results Available,Tuberculosis,Device: Xpert,"University of North Carolina, Chapel Hill|National Institutes of Health (NIH)",Both,Adult|Senior,,892,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,14-1697|US NIH Grant P30 AI50410-17,"January 5, 2016",Jan-16,Mar-17,"March 31, 2016",Feb-16,No Study Results Posted,null,Jan-17,Culture-positive patient drop-out before accessing treatment|Time to TB treatment|Percentage of participants who receive TB treatment within 14 days of enrolment (effect of Xpert on the accuracy of TB diagnosis)|Percentage of participants who did not receive TB treatment 14 days post-enrolment (effect of Xpert on the accuracy of TB diagnosis)|Time to TB Diagnosis|Number of TB patients lost to follow-up,https://ClinicalTrials.gov/show/NCT02729532
636,NCT02729506,Transarterial Radioembolization Versus Chemoembolization for the Treatment of Hepatocellular Carcinoma,Recruiting,No Results Available,Hepatocellular Carcinoma,Procedure: Transarterial Radioembolization|Procedure: Transarterial Chemoembolization using drug-eluting beads,King Faisal Specialist Hospital & Research Center,Both,Adult|Senior,Phase 4,150,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,RAC# 2131 134,"February 4, 2016",Jan-16,Dec-17,"April 5, 2016",Mar-16,No Study Results Posted,null,Dec-17,"Time to Progression (TTP) is the primary outcome.|Time to Local Progression (TLP)|Overall survival|Overall response to therapy according to mRECIST|Toxicities and adverse events|Quality of life|Treatment-related costs, in terms of cost of therapy and number of hospitalization days.",https://ClinicalTrials.gov/show/NCT02729506
637,NCT02729493,Study Evaluating the Efficacy and Safety With CAR-T for Liver Cancer,Recruiting,No Results Available,Liver Neoplasms,Biological: EPCAM-targeted CAR-T cells,"Sinobioway Cell Therapy Co., Ltd.",Both,Child|Adult|Senior,Phase 1|Phase 2,25,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label,ACCO-2015-06-03,"March 23, 2016",Nov-15,May-19,"March 31, 2016",Mar-16,No Study Results Posted,EECLC,Oct-16,Disease control rates,https://ClinicalTrials.gov/show/NCT02729493
638,NCT02729467,A Study to Assess the Effects of Itraconazole and Rifampicin on the Single-Dose Pharmacokinetics of JNJ-53718678 in Healthy Adults,Recruiting,No Results Available,Healthy,Drug: JNJ-53718678|Drug: Itraconazole|Drug: Rifampicin,"Janssen Research & Development, LLC",Both,Adult,Phase 1,30,Industry,Interventional,Allocation: Non-Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,CR108127|53718678RSV1006,"March 18, 2016",Mar-16,Jun-16,"April 8, 2016",Apr-16,No Study Results Posted,null,Jun-16,"Maximum Observed Analyte Concentration (Cmax)|Area Under the Analyte Concentration-Time Curve From Time 0 to the Time of the Last Measurable Concentration (AUC [0-last])|Area Under the Analyte Concentration-Time Curve From Time 0 to Infinite Time (AUC [0-infinity])|Area Under the Analyte Concentration-time curve From Time 0 to 24h (AUC24h)|Ratio of Individual Cmax Values Between Test and Reference Treatment (Ratio Cmax, test/reference)|Ratio of Individual AUC24h Values Between Test and Reference Treatment (Ratio AUC24h, test/reference)|Ratio of Individual AUClast Values Between Test and Reference Treatment (Ratio AUClast, test/reference)|Ratio of Individual AUC(infinity) Values Between Test and Reference Treatment (Ratio AUC[infinity], test/reference)|Number of Participants With Adverse Events and Serious Adverse Events",https://ClinicalTrials.gov/show/NCT02729467
639,NCT02729454,Mental Practice in Parkinson's Disease,Recruiting,No Results Available,Parkinson Disease,Other: Mental practice and physical therapy|Other: physical therapy,Universidade Federal de Pernambuco,Both,Adult|Senior,,30,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,CAAE 46155315.3.0000.5208,"March 26, 2016",Oct-15,Aug-16,"April 5, 2016",Apr-16,No Study Results Posted,null,Jun-16,Dynamic Gait Index test to evaluate gait and risk of falls|Timed up and go Test to evaluate risk of falls|Walk Test of 10 meters to evaluate gait|history questionnaire falls to evaluate risk of falls,https://ClinicalTrials.gov/show/NCT02729454
640,NCT02729259,H2O VR for Burns 2015,Recruiting,No Results Available,Pain|Burn,Behavioral: Virtual Reality Snowworld|Behavioral: Virtual Reality slides of nature|Behavioral: Control standard nurse wound care,National Institute of General Medical Sciences (NIGMS)|University of Washington,Both,Child|Adult|Senior,,200,NIH|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Caregiver),50416EB,"March 31, 2016",Oct-15,Oct-20,"April 5, 2016",Dec-15,No Study Results Posted,H2OWC,Oct-19,"""Pain and anxiety"" as measured by Graphic Rating Scale",https://ClinicalTrials.gov/show/NCT02729259
641,NCT02729246,Bariatric Surgery for the Treatment of Type 2 Diabetes - Clinical Effects and Underlying Mechanisms,Recruiting,No Results Available,Type 2 Diabetes Mellitus|Obesity,Procedure: Laparoscopic Gastric Bypass,Uppsala University,Both,Adult,,36,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,Dnr 2014/255,"March 16, 2016",Oct-14,Jun-17,"March 30, 2016",Mar-16,No Study Results Posted,Bariglykos,Dec-16,Change from Baseline of Glucose Turnover|Change from Baseline of homeostatic model assessment (HOMA) for insulin resistance|Change from Baseline of beta cell function,https://ClinicalTrials.gov/show/NCT02729246
